Campo,Tabela ,Descrição: ,Data quality,Origem: ,Formato: ,Transformação: ,Valores esperados: ,Nullable: ,Comment
customer_id,dim_customers,Um identificador único para cada cliente,,Master data,integer,"Extraído da tabela original, sem ajustes","Número inteiro, positivo e maior que zero",Não,"Descrição:  Um identificador único para cada cliente, Origem:  Master data, Formato: integer, Transformação:  Extraído da tabela original, sem ajustes, Valores esperados:  Número inteiro, positivo e maior que zero, Nullable:  Não"
customer_name,dim_customers,O nome do cliente que fez o pedido,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com múltiplas palavras,Não,"Descrição:  O nome do cliente que fez o pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Número inteiro, positivo e maior que zero String de caracteres com múltiplas palavras, Nullable:  Não"
segment,dim_customers,"O segmento de cliente (por exemplo, consumidor, corporativo ou escritório doméstico)",,Master data,string,"Extraído da tabela original, sem ajustes","Pode conter or valores Consumer, Corporate ou Home Office",Não,"Descrição:  O segmento de cliente (por exemplo, consumidor, corporativo ou escritório doméstico), Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de caracteres com múltiplas palavras Pode conter or valores Consumer, Corporate ou Home Office, Nullable:  Não"
priority,dim_priority,O nível de prioridade do pedido,,Master data,string,"Extraído da tabela original, sem ajustes","String de caracteres com as opções Critical, HIgh, Low, e Medium ",Não,"Descrição:  O nível de prioridade do pedido, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Pode conter or valores Consumer, Corporate ou Home Office String de caracteres com as opções Critical, HIgh, Low, e Medium , Nullable:  Não"
priority_level,dim_priority,Chave que identifica a prioridade do pedido,,Gerado sistematicamente,integer,"Criado no processo de etl, para permitir conexões ","Numério decimal, positivo de 1 a 4",Não,"Descrição:  Chave que identifica a prioridade do pedido, Origem:  Gerado sistematicamente, Formato: integer, Transformação:  Criado no processo de etl, para permitir conexões , String de caracteres com as opções Critical, HIgh, Low, e Medium  Numério decimal, positivo de 1 a 4, Nullable:  Não"
product_id,dim_products,Um identificador único para cada produto,,Master data,string,"Extraído da tabela original, sem ajustes","String de 16 caracteres, alfanumérico",Não,"Descrição:  Um identificador único para cada produto, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Nome do país, Múltiplas possibilidades String de 16 caracteres, alfanumérico, Nullable:  Não"
product_name,dim_products,O nome do produto,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com múltiplas palavras,Não,"Descrição:  O nome do produto, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de 16 caracteres, alfanumérico String de caracteres com múltiplas palavras, Nullable:  Não"
product _price,dim_products,Valor unitário dos items a venda,,Calculado,float,Calculado a partir da divisão do total de vendas de cada produto dividido pela quantidade de unidades vendids,"Numério decimal, positivo. Não pode ser zero. ",Não,"Descrição:  Valor unitário dos items a venda, Origem:  Calculado, Formato: float, Transformação:  Calculado a partir da divisão do total de vendas de cada produto dividido pela quantidade de unidades vendids, String de caracteres com múltiplas palavras Numério decimal, positivo. Não pode ser zero. , Nullable:  Não"
category,dim_products,A categoria de produtos vendidos na superloja,,Master data,string,"Extraído da tabela original, sem ajustes","String de caracteres com as opções Furniture, Office supplies e Technology",Não,"Descrição:  A categoria de produtos vendidos na superloja, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, Numério decimal, positivo. Não pode ser zero.  String de caracteres com as opções Furniture, Office supplies e Technology, Nullable:  Não"
sub_category,dim_products,A subcategoria de produtos dentro da categoria principal,,Master data,string,"Extraído da tabela original, sem ajustes",String de caracteres com 17 valores possívies dentro do universo de produtos para escritórios,Não,"Descrição:  A subcategoria de produtos dentro da categoria principal, Origem:  Master data, Formato: string, Transformação:  Extraído da tabela original, sem ajustes, String de caracteres com as opções Furniture, Office supplies e Technology String de caracteres com 17 valores possívies dentro do universo de produtos para escritórios, Nullable:  Não"
